run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
649,.0033529,-.0045366,-.007154,-.0023168,-.0020616,-.0395702,-.0014437,.0020279,.0003751,-.0172517,.0024881,.0002538,-.0001999,-.0001155,.0002352,.0002399,.0000508,.0007946,-.0000397,-.0001766,-.0001031,.0006276,-.0000885,-.0000342,-.0044431,-.0613936,-.0001452,.0013357
650,.0134608,-.0123477,-.0135973,-.0106759,-.0115739,-.038895,-.0012846,-.0016548,-.003329,-.0066196,.0070646,-.0007158,-.000598,-.0000569,.0004921,.0004345,.0003987,.0007762,-.0001224,-.0001232,.0002326,.0002105,-.0001181,-.0001593,-.0092594,-.0709088,.0002849,.0010818
651,.0090816,.0116674,-.0128826,-.0025962,-.0047804,-.0252105,-.0014342,.0088992,-.000954,.0026806,.0094191,.0204102,-.000281,-.0004079,.0004984,.0003132,.0001292,.0005566,-.0001305,-.000307,-.0000373,4.86e-06,-.0004024,-.0006223,-.0015506,.0158508,-.0002236,-.0004625
652,.008834,-.0162759,-.0049389,-.0062694,.0002614,-.0250571,.0032481,-.0076536,-.0018655,-.0047074,.0026573,-.0143294,-.000348,.0000289,.0002003,.0001332,6.53e-06,.0004497,-.0001107,.000063,.0000542,.0002653,-.0001014,.0002387,.0081964,-.0742929,-.000299,.0011788
653,.0073344,-.0066463,-.0126924,-.0182417,-.0054217,.0085471,-.0061903,-.0160257,-.0035299,.0060393,.0084092,-.0031113,-.0002625,-.0001573,.0004421,.0003957,.0001065,-.0001749,.0000831,.000172,.0001046,-9.53e-06,-.000308,.0000553,-.0120908,-.0294385,.0001658,.0002813
654,.020062,-.0036532,-.0048508,.0006018,-.0099279,.0012068,.0010764,-.014753,.0031807,.0126208,.0004529,.0048454,-.0008314,-.0001857,.0003015,.0001217,.0004325,-.0001058,-.0001783,.000296,.0000509,-.0001212,.00002,-.0000975,.0099934,.0008685,-.0002048,-.0000926
655,.0116481,.0101127,-.0096513,-.0103522,-.0046835,-.014823,-4.47e-06,.0034194,.0029948,.0082112,.0050948,.0142337,-.0004966,-.0004474,.0004047,.0003033,.0001351,.0002042,-.000084,-.0003099,-.0000955,-.000017,-.0001086,-.0003161,.0053984,.0108018,-.0002449,-.0005829
656,.0113847,-.0040506,-.0049012,-.0153313,.0009422,.0280545,-.0071432,-.0096979,.0046567,-.0064964,-.0015093,-.0038643,-.0004716,-.0001254,.0001791,.0003766,-.0000794,-.0007177,.0002954,.0000151,-.0001779,.0003029,.0001295,.0000801,.0034299,-.0113859,-.0001249,-.0000684
657,.0203184,-.0217989,-.0059696,.0026911,-.00402,-.0535072,-.0024274,.0164243,.0077448,-.0134796,.0007808,-.0071215,-.0006647,.0001852,.0001697,.0001609,.0001517,.00106,.0000246,-.0004405,-.0004147,.0003938,.0001337,.0002282,.0164269,-.0767917,-.0005996,.0015875
658,.0067856,-.0036886,-.0074214,.003752,-.0045373,-.0247368,-.0026372,.0037963,.0002352,-.0091073,.0038887,.0058632,-.0003013,-.0002363,.0003123,.0000972,.0001401,.0004537,-4.71e-07,-.0001296,9.01e-07,.0003143,-.0000849,-.0002151,-.0036864,-.0241212,.0000666,.0002841
659,.00987,-.0357002,-.0103252,-.0008523,.0020014,-.0536819,.0067484,.018823,.0076374,-.0247333,.0014264,.0038493,-.0006019,.0005463,.0005049,.0002268,-.0001111,.0010593,-.0003584,-.0006889,-.0001747,.0008399,.0000417,-.0001471,.0173584,-.0922953,-.0006996,.0018363
660,.0046263,-.001126,-.0083586,-.0008075,-.0014545,-.014466,-.0065243,.0003561,-.0018661,.0046861,.0026937,.0110334,-.0003369,-.0002653,.0003508,.0001592,-1.86e-06,.0002592,.0001506,-.0001013,-6.66e-06,-.0000304,-.0001511,-.0003407,-.0108836,-.0003237,4.90e-06,-.0003193
661,.0161732,.0161131,-.0041956,-.0055127,.0007095,-.0061655,-.0076439,-.0056146,.0043304,.0071684,.0039942,.0126582,-.0008753,-.0004318,.0002034,.0001968,-.0002116,.0002041,.0001869,-.0001869,-.000311,.0003457,-.0000565,-.0003921,.0133677,.0186469,-.001064,-.0002643
662,.0075565,.0058068,-.0076448,-.0024729,-.0077004,-.0227603,-.0072854,.0025065,-.0011711,-.0014865,.0063184,.0089544,-.0001695,-.0003121,.0003409,.0002039,.0003649,.000478,.0001688,-.0002408,.0002026,.0002009,-.0001442,-.000309,-.0099267,-.009452,.0007635,.0000208
663,.0082544,.0020439,-.0052201,-.0022855,-.00511,.0214744,-.0003195,.0347501,.0009766,-.0077309,.0029021,.0299561,-.000283,-.0004202,.0001781,.000173,.0000798,-.0005787,-.0000429,-.0009292,-.0000806,.0004708,-.000115,-.0008436,.0014835,.0782082,-.0002636,-.002128
664,.0068213,-.006469,-.010032,-.0194412,-.0090964,-.0033193,-.0027788,-.0078699,.0032096,.0096289,.0050017,.0124051,-.0003292,-.0000757,.0002798,.0005782,.0002291,.0001629,-.0000664,-.0000295,-.0002066,-.0000224,-.000073,-.0004228,-.0068746,-.0150654,-.0001662,.0001907
665,.0101457,-.0024274,-.0069584,-.0063113,-.005061,-.029041,-.0015262,.002155,-.0007555,-.0046613,.0054169,.012717,-.0004329,-.0000993,.0003248,.0002039,.0001429,.0006434,-.0000947,-.0002078,.0000785,.0002852,-.0001889,-.0003396,.0012615,-.027569,-.0001703,.0004858
666,.0124511,.0047629,-.0079171,-.0020922,-.0020481,-.0026768,-.0018089,-.006769,.005575,.0153689,.0023686,.0067342,-.0005293,-.0004098,.0002906,.00027,-.0000142,.0000857,-.0000322,-.0000326,-.0002507,-.0001059,-3.12e-06,-.0002571,.0086206,.015328,-.000539,-.0004495
667,.0087132,.0163973,-.0078832,-.0101256,-.0092068,-.0023564,-.0092797,.0043564,-.0006255,.0144379,.0029934,.0036373,-.0004114,-.0006361,.0003464,.0003292,.0003253,.0001017,.0002438,-.0002341,.000125,-.0001411,-.0000341,-.0002157,-.0152887,.0263468,.000595,-.0007961
668,.0027805,.0090616,-.0074734,-.010228,-.0093658,.0278454,-.0015029,-.0147592,.0002777,.002025,.007199,.005561,-.000146,-.0004916,.0003069,.0003922,.0002794,-.0006396,-.0000649,.00016,.0000223,.0001834,-.0002361,-.0002241,-.0080849,.0195057,.0001616,-.0006197
669,.0134418,.0031604,-.0076648,.0044627,-.0060252,-.0236027,-.0011517,.0130352,-.0000662,-.0032753,.0044271,.0187437,-.0004205,-.0002707,.0004419,.0000263,.0003088,.0006199,-.000077,-.000436,.0001796,.0003685,.0000134,-.0005695,.002961,.0125239,.0004462,-.0002614
670,.0133193,-.0108396,-.0114106,-.0067923,-.0096042,-.0173431,.0007578,-.0004072,.0014804,-.006505,.0011617,.0123322,-.0006506,-.0001791,.0005245,.0002722,.0003769,.000305,-.0001614,-.0001663,-.0000669,.000287,-2.20e-06,-.0004583,-.0042956,-.0295549,.0000203,.0000605
671,.0172118,.0147217,-.0060483,.0000435,-.0015952,-.0090256,-.0143418,-.0119492,.0107227,.0053604,.0012093,.0015652,-.0008516,-.0004515,.0001949,.0000495,-.0001731,.0001442,.0005321,.0001021,-.0005131,.0000688,.0002093,.0000222,.0071585,.0007161,-.0006015,-.0000647
672,.008602,.0157972,-.0123463,.0076048,-.0101523,.0003741,-.0098332,-.003941,-.008385,-.0008135,.0058283,.0021449,-.0003894,-.0006271,.0005323,-.0001201,.0004028,-3.00e-06,.00028,-.0000153,.0004485,.0002566,-.0002487,-.0001149,-.0262866,.0211666,.0010255,-.0006239
673,.0064131,.0258989,-.0068708,-.0017238,-.0056647,-.0057031,-.0064177,-.0108481,-.0014601,.0019935,.0052838,.0039571,-.0003625,-.0008221,.0003475,.0002471,.0002953,.0000945,.0001538,.0002329,.0001113,.0001159,-.0001398,-.000095,-.0087164,.0135745,.0004057,-.0002267
674,.009029,.0338343,-.0134843,.0055355,-.0000713,-.0032691,-.0015915,-.002743,-.0002512,.0032804,.0020176,.0068668,-.0003491,-.0009665,.0005854,.0000447,-.0000664,-.0000321,6.46e-06,-.0000424,.0000414,-.0000546,.0000251,-.0000929,-.0043517,.0435049,.0002429,-.0011438
